,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04965615272521973,0.03797795364957401,0.009192276000976562,0.0027668734672123825,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
1,0.014434909820556641,0.0028397695714517494,0.005532550811767578,0.000836636176530093,1,0.1,poly,"{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.6947280067621945,0.7077557499660895,0.687912109250259,0.7436058160848307,0.7085623326649684,0.7085128029456683,0.01921720239860316,9
2,0.028052043914794923,0.01351265026349839,0.012310361862182618,0.0055235545483116434,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.4952093217844248,0.4824981055263232,0.5407032369285013,0.5507021650193207,0.5744870879857735,0.5287199834488687,0.03458574553807088,29
3,0.053861045837402345,0.02031218445829683,0.009302806854248048,0.0026264675315286075,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
4,0.025787544250488282,0.005350605066123012,0.010157394409179687,0.0034890568884657558,1,0.01,poly,"{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.5989227211355117,0.6241067639333607,0.6079001411273698,0.6301963206897359,0.6912592869876573,0.630477046774727,0.03237447195267119,28
5,0.01832408905029297,0.0045710476213075375,0.010441017150878907,0.003084256808842968,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6949031854293773,0.7491110484377459,0.6961290430068646,0.7379684470514651,0.7058813433957458,0.7167986134642398,0.02244140372391418,6
6,0.0500450611114502,0.01823025803467941,0.03333182334899902,0.05206126102795279,1,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
7,0.031136560440063476,0.00436467228840891,0.014095020294189454,0.00960093048850151,1,0.001,poly,"{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.013973479458269433,0.004200709318860074,0.012175498015539299,0.008049383687873779,0.017648469974853254,0.011209508091079168,0.004672099118526826,36
8,0.02158980369567871,0.0045642933569468806,0.012247133255004882,0.002416309775083213,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6143413350766984,0.6703184427273576,0.6025869341912093,0.631216096649367,0.6859767462170774,0.640887910972342,0.03213841554768999,27
9,0.07911925315856934,0.05438699461103148,0.012375402450561523,0.0025984660399476405,5,0.1,linear,"{'C': 5, 'gamma': 0.1, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
10,0.024586296081542967,0.005807752926219376,0.009086990356445312,0.0007833812767893105,5,0.1,poly,"{'C': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.6947280067621945,0.7077557499660895,0.687912109250259,0.7436058160848307,0.7085623326649684,0.7085128029456683,0.01921720239860316,9
11,0.028151464462280274,0.0019565909174328196,0.015158271789550782,0.0009818240192609223,5,0.1,rbf,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",0.4952093217844248,0.4824981055263232,0.5407032369285013,0.5507021650193207,0.5744870879857735,0.5287199834488687,0.03458574553807088,29
12,0.057967519760131835,0.0413208012051187,0.00939350128173828,0.002008346178979415,5,0.01,linear,"{'C': 5, 'gamma': 0.01, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
