,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0632093906402588,0.019499902149275827,0.007120990753173828,0.0021717429545503888,0.01,absolute_error,5,sqrt,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1}",-0.08862909711092826,0.25262895019000753,-0.0500434918478907,-0.03665362966150654,0.27179306678307946,0.0698191596705523,0.15812794745922526,48
1,0.04073381423950195,0.003758645716981932,0.005888795852661133,0.000804450382901523,0.01,absolute_error,5,sqrt,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.23603466664608397,0.2921608976018494,0.2097326026253269,0.18124285611594237,0.1622448892561259,0.2162831824490657,0.04547179451386786,40
2,0.03533530235290527,0.002224143386985832,0.005945682525634766,0.0010699614997843141,0.01,absolute_error,5,sqrt,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3}",0.3111254535874205,0.4226688796386403,0.2268662492648631,-0.03665362966150654,0.34777730200604906,0.25435685096709326,0.1585697492770658,39
3,0.026926374435424803,0.0026442796352757485,0.0047130584716796875,0.0007962232807434549,0.01,absolute_error,5,log2,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1}",-0.08862909711092826,-0.05015544665367533,0.17723187352316438,-0.03665362966150654,-0.09503442083590419,-0.018648144147769986,0.1004172156419979,54
4,0.023984813690185548,0.003128923934205374,0.00509939193725586,0.0007662632572378032,0.01,absolute_error,5,log2,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2}",-0.07261353059365327,0.22661150385683648,0.17723187352316438,-0.03665362966150654,0.014113456463077378,0.06173793471758369,0.11876148433124126,50
5,0.028935718536376952,0.0025216881521880497,0.006960344314575195,0.0022188541513958335,0.01,absolute_error,5,log2,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3}",0.3170091144119642,-0.05015544665367533,-0.0500434918478907,-0.03665362966150654,-0.09503442083590419,0.017024425082597494,0.15128818393359816,51
6,0.4228154182434082,0.10785906691785963,0.006134414672851562,0.002707606828678449,0.01,absolute_error,5,1.0,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'min_samples_leaf': 1}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
7,0.43110880851745603,0.05778885995167527,0.0058288097381591795,0.0012679950514148527,0.01,absolute_error,5,1.0,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'min_samples_leaf': 2}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
8,0.3852522850036621,0.06687251044766658,0.0058248043060302734,0.0010677905738807562,0.01,absolute_error,5,1.0,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'min_samples_leaf': 3}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
9,0.1045114517211914,0.05726587910220378,0.009646034240722657,0.006235805665444787,0.01,absolute_error,6,sqrt,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1}",-0.08862909711092826,0.28783643707371265,0.2097326026253269,0.39686644937937166,0.1622448892561259,0.19361025624472178,0.16192246421233145,43
10,0.09792399406433105,0.027978445283889142,0.008229827880859375,0.0008427854653189597,0.01,absolute_error,6,sqrt,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2}",-0.08862909711092826,0.07530990047328023,0.22945131817379483,0.31053215966937087,0.31667539485676544,0.16866793521245663,0.15533433067299085,44
11,0.051825857162475585,0.010061143033262712,0.007438564300537109,0.002249183762225354,0.01,absolute_error,6,sqrt,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 3}",0.20840327370679224,-0.05015544665367533,-0.0500434918478907,0.31969498638230653,0.34777730200604906,0.15513532471871636,0.17393730803237684,45
12,0.03860483169555664,0.00496772658264133,0.007095623016357422,0.00048179781729266026,0.01,absolute_error,6,log2,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1}",-0.08862909711092826,0.25476479968731736,-0.0500434918478907,0.39686644937937166,-0.09503442083590419,0.08358484785439317,0.2034045018789614,47
13,0.03479523658752441,0.0066808281590283935,0.006576728820800781,0.0004160019411365682,0.01,absolute_error,6,log2,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2}",0.46469522698935894,0.43436632553137844,-0.0500434918478907,0.4903763347433945,0.3244753149654168,0.3327739420763316,0.19958998316138854,29
